DW_ID,Title,Short_Title,Genre,Order,Publisher,Publication_Date,Display_Title,Short_Genre
1,The Colour of Magic,tCoM,The Wizards/Rincewind,01 ,Gollancz,1983,1. The Colour of Magic,Wd
2,The Light Fantastic,tLF,The Wizards/Rincewind,02 ,Gollancz,1986,2. The Light Fantastic,Wd
3,Equal Rites,ER,The Witches,03 ,Gollancz,1987,3. Equal Rites,Wh
4,Mort,Mt,Death,04 ,Gollancz,1987,4. Mort,Dh
5,Sourcery,Sy,The Wizards/Rincewind,05 ,Gollancz,1988,5. Sourcery,Wd
6,Wyrd Sisters,WS,The Witches,06 ,Gollancz,1988,6. Wyrd Sisters,Wh
7,Pyramids,P,Standalone,07 ,Gollancz,1989,7. Pyramids,Se
8,Guards! Guards!,GG,The City Watch,08 ,Gollancz,1989,8. Guards! Guards!,CW
9,Eric,E,The Wizards/Rincewind,09 ,Gollancz,1990,9. Eric,Wd
10,Moving Pictures,MP,Standalone,10 ,Gollancz,1990,10. Moving Pictures,Se
11,Reaper Man,RM,Death,11 ,Gollancz,1991,11. Reaper Man,Dh
12,Witches Abroad,WA,The Witches,12 ,Gollancz,1991,12. Witches Abroad,Wh
13,Small Gods,SG,Standalone,13 ,Gollancz,1992,13. Small Gods,Se
14,Lords and Ladies,LL,The Witches,14 ,Gollancz,1992,14. Lords and Ladies,Wh
15,Men at Arms,MaA,The City Watch,15 ,Gollancz,1993,15. Men at Arms,CW
16,Soul Music,SM,Death,16 ,Gollancz,1994,16. Soul Music,Dh
17,Interesting Times,IT,The Wizards/Rincewind,17 ,Gollancz,1994,17. Interesting Times,Wd
18,Maskerade,Mk,The Witches,18 ,Gollancz,1995,18. Maskerade,Wh
19,Feet of Clay,FC,The City Watch,19 ,Gollancz,1996,19. Feet of Clay,CW
20,Hogfather,HF,Death,20 ,Gollancz,1996,20. Hogfather,Dh
21,Jingo,J,The City Watch,21 ,Gollancz,1997,21. Jingo,CW
22,The Last Continent,tLC,The Wizards/Rincewind,22 ,Doubleday,1998,22. The Last Continent,Wd
23,Carpe Jugulum,CJ,The Witches,23 ,Doubleday,1998,23. Carpe Jugulum,Wh
24,The Fifth Elephant,tFE,The City Watch,24 ,Doubleday,1999,24. The Fifth Elephant,CW
25,The Truth,tT,Standalone,25 ,Doubleday,2000,25. The Truth,Se
26,Thief of Time,ToT,Death,26 ,Doubleday,2001,26. Thief of Time,Dh
27,The Last Hero,tLH,The Wizards/Rincewind,27 ,Gollancz,2001,27. The Last Hero,Wd
28,The Amazing Maurice and His Educated Rodents,tAMahER,Standalone,28 ,Doubleday,2001,28. The Amazing Maurice and His Educated Rodents,Se
29,Night Watch,NW,The City Watch,29 ,Doubleday,2002,29. Night Watch,CW
30,The Wee Free Men,tWFM,Tiffany Aching & the Nac Mac Feegles,30 ,Doubleday,2003,30. The Wee Free Men,TA
31,Monstrous Regiment,MR,Standalone,31 ,Doubleday,2003,31. Monstrous Regiment,Se
32,A Hat Full of Sky,aHFoS,Tiffany Aching & the Nac Mac Feegles,32 ,Doubleday,2004,32. A Hat Full of Sky,TA
33,Going Postal,GP,Moist Van Lipwig,33 ,Doubleday,2004,33. Going Postal,ML
34,Thud!,T,The City Watch,34 ,Doubleday,2005,34. Thud!,CW
35,Wintersmith,W,Tiffany Aching & the Nac Mac Feegles,35 ,Doubleday,2006,35. Wintersmith,TA
36,Making Money,MM,Moist Van Lipwig,36 ,Doubleday,2007,36. Making Money,ML
37,Unseen Academicals,UA,The Wizards/Rincewind,37 ,Doubleday,2009,37. Unseen Academicals,Wd
38,I Shall Wear Midnight,ISWM,Tiffany Aching & the Nac Mac Feegles,38 ,Doubleday,2010,38. I Shall Wear Midnight,TA
39,Snuff,Sf,The City Watch,39 ,Doubleday,2011,39. Snuff,CW
40,Raising Steam,RS,Moist Van Lipwig,40 ,Doubleday,2013,40. Raising Steam,ML
41,The Shepherd's Crown,tSC,Tiffany Aching & the Nac Mac Feegles,41 ,Doubleday,2015,41. The Shepherd's Crown,TA
